Associated with;Overall file decorastors;Cycl. Number;Cycl. Density;Halstead Bugs;Halstead Difficulty;Halstead Effort;Halstead Length;Halstead Time;Halstead Vocabulary;Halstead Volume;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;Halstead Identifiers Distinct;Halstead Identifiers Total;Halstead Identifiers Names;LOC Physical;LOC Logical;Class Name;Class Maintainability;Class number methods;
CLASS: AppRoutingModule;1;0,0;0,0;0,008;-0,10399999999999965;56,80000000000001;5,0;3,1560000000000006;2,0;22,118000000000002;2,0;2,0;DecoratorTypesService,wholeBlockFile;0,0;3,0;;1,0;1,0;AppRoutingModule;0,0;0;
CLASS: AppModule;1;0,0;-1,3889999999999993;0,010999999999999996;-0,02799999999999958;123,05999999999995;5,0;6,836999999999989;2,0;30,273000000000025;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;AppModule;0,0;0;
CLASS: MainNavigationComponent;1;0,0;-0,48999999999999844;0,013000000000000012;-0,1789999999999985;273,42099999999846;5,0;15,190000000000055;2,0;39,049999999999955;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;MainNavigationComponent;0,0;10;
CLASS: SmallMainMenuComponent;1;0,0;-1,7539999999999978;0,010000000000000009;-0,14400000000000013;145,29700000000003;5,0;8,072000000000003;2,0;31,843000000000018;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;SmallMainMenuComponent;0,0;5;
CLASS: DragAndDropDirective;1;0,0;-0,5090000000000003;0,013000000000000012;-0,2400000000000002;235,80799999999908;5,0;13,100999999999999;2,0;38,62000000000012;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;DragAndDropDirective;0,0;8;
CLASS: RemoveDirective;1;0,0;-4,761999999999997;0,007999999999999997;-0,15100000000000025;64,43;5,0;3,580000000000002;2,0;24,238;2,0;2,0;DecoratorTypesService,wholeBlockFile;0,0;3,0;;1,0;1,0;RemoveDirective;0,0;2;
CLASS: AppEffects;1;0,0;-1,9229999999999983;0,009000000000000001;-0,030999999999999694;79,22300000000001;5,0;4,401;2,0;25,86;2,0;2,0;wholeBlockFile,DecoratorTypesService;0,0;3,0;;1,0;1,0;AppEffects;0,0;3;
CLASS: DecoratorTypesService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;DecoratorTypesService;0,0;14;
CLASS: ServiceToSkipService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;ServiceToSkipService;0,0;1;
CLASS: FeatureConfigLoaderService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FeatureConfigLoaderService;0,0;4;
CLASS: MenuManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;MenuManagerService;0,0;10;
CLASS: PuzzleAlgorithmManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;PuzzleAlgorithmManagerService;0,0;3;
CLASS: VariableSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;VariableSettingsConfigService;0,0;8;
CLASS: ZoomSettingsConfigService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;ZoomSettingsConfigService;0,0;15;
CLASS: TreeManagerService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;TreeManagerService;0,0;1;
CLASS: AnnotationExtractorService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;AnnotationExtractorService;0,0;5;
CLASS: ComponentFactoryService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;ComponentFactoryService;0,0;2;
CLASS: FabricMenuHelperService;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;FabricMenuHelperService;0,0;1;
CLASS: GameConfigurationComponent;12;0,0;-7,542;0,19200000000000006;1,2460000000000004;8577,661999999998;80,0;476,53600000000006;19,0;575,386;18,0;35,0;"['JIGSAW', 'ANTI-JIGSAW', 'JIGSAW2']","puzzleAlgorithmType","['JIGSAW2']",newA,EXPRESSION_START7,EXPRESSION_START8,EXPRESSION_START9,EXPRESSION_END9,EXPRESSION_END8,EXPRESSION_END7,EXPRESSION_END11,EXPRESSION_END10,"---------------------------",EXPRESSION_START11,EXPRESSION_START10,"EXPRESSION_END","['ANTI-JIGSAW']","['JIGSAW']";1,0;45,0;var;24,0;25,0;GameConfigurationComponent;-16,70599999999999;3;
CLASS: MaterialModule;1;0,0;0,0;0,006999999999999999;0,4169999999999998;78,94;5,0;4,385999999999999;3,0;22,351;2,0;2,0;DecoratorTypesService,wholeBlockFile;1,0;3,0;.;1,0;1,0;MaterialModule;0,0;0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;11,61;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;DecoratorFileCopy;0,0;0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;11,61;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;DecoratorFileCopy;0,0;0;
CLASS: RoutingModelMock;7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;;0,0;0,0;RoutingModelMock;0,0;1;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;11,61;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;DecoratorFileCopy;0,0;0;
CLASS: DecoratorFileCopy;1;0,0;0,0;0,004;1,5;17,414;5,0;0,967;5,0;11,61;2,0;2,0;DecoratorTypesService,wholeBlockFile;3,0;3,0;(),{},.;1,0;1,0;DecoratorFileCopy;0,0;0;
